Animal,Title ,Author ,Illustrator,First published,Pages,Age range,Grade range / Lexile,Lexile,ISBN,Series,Titles in Series,Publisher,Subject / Genre,Awards,Goodreads rating,Amazon rating,Synopsis (using AI),Amazon
squirrel,Scaredy Squirrel Goes Camping (Book 7),Melanie Watt ,Melanie Watt ,"June 15, 2021",32,4 - 7 years,Preschool - 3,,978-0593307465,,,Random House Books for Young Readers,,,,,,
squirrel,Scaredy Squirrel Prepares for Halloween: A Safety Guide for Scaredies (Book 8),Melanie Watt ,Melanie Watt ,"August 01,  2013",,,,,,,,,,,,,,
squirrel,Scaredy Squirrel Visits the Doctor (Book 9),Melanie Watt ,Melanie Watt ,"October 25, 2022",40,4 - 8 years,Preschool - 3,,978-0593307434,,,Random House Books for Young Readers,,,,,,
,,,,,,,,,,,,,,,,,,
wombat,wombat,Jackie French ,Bruce Whatley,"March 23, 2009",32,2 - 8 years,Preschool - 3,,978-0547076690,,,Clarion Books,,,,,,
wombat,Diary of a Baby Wombat,Jackie French ,Bruce Whatley,,32,,,,,,,,,,,,,
wombat,Christmas Wombat,Jackie French ,Bruce Whatley,,32,,,,,,,,,,,,,
wombat,Wombat Goes to School,Jackie French ,Bruce Whatley,,32,,,,,,,,,,,,,
wombat,Wombat Wins,Jackie French ,Bruce Whatley,,32,,,,,,,,,,,,,
wombat,Grandma Wombat,Jackie French ,Bruce Whatley,,32,,,,,,,,,,,,,
wombat,Happy Birthday Wombat,Jackie French ,Bruce Whatley,,32,,,,,,,,,,,,,
wombat,Wombat Stew ,Marcia K. Vaughan,Pamela Lofts,"January 01,  1986",32,5 - 8 years,1 - 2,,978-0382092114,,,Silver Burdett Pr,,,,,,
wombat,The Muddleheaded Wombat,Ruth Park ,Noela Young,"January 01,  1990",272,8+,,,978-0207167331,,,HarperCollins Publishers (Australia) Pty Ltd ,,,,,,
wombat,The Wild Wombat ,Udo Weigelt,Anne-Katrin Piepenbrink,"January 01,  2001",44,,,,9780735815117,,,North South Books,,,,,,
wombat,One Very Tired Wombat ,Renee Treml,,"April 01,  2013",32,,,,9781742755786,,,Random House Australia,,,,,,
wombat,Once I Heard a Little Wombat,Renee Treml,,"May 01,  2016",24,,,,9780857987396,,,Random House Australia,,,,,,
wombat,Wombat Goes Walkabout,Michael Morpurgo,Christian Birmingham ,"April 01,  2000",32,4 - 8 years,Preschool - 3,,978-0763611682,,,Candlewick,,,,,,
wombat,Wombat Divine: A Christmas Holiday Book for Kids,Mem Fox,Kerry Argent ,"September 07,  1999",32,4 - 7 years,Preschool - 3,,978-0152020965,,,Clarion Books,,,,,,
wombat,Wombat Walkabout,Carol Diggory Shields ,Sophie Blackall ,"March 19, 2009",32,3 - 5 years,,,978-0525478652,,,Dutton Books for Young Readers,"Children's Counting Books, Children's Humor, Children's Humor",,,,,
"wombat,echidna","Wombat Big, Puggle Small",Renee Treml,,"May 29, 2017",24,,,,978-0143782926,,,9780143782926,,,,,,
"wombat, fox",Wombat and Fox: Tales of the City,Terry Denton,,"May 01,  2006",132,7 - 10 years, 2 - 5,,9781741144468,,,A&U Children's,,,,,,
"wombat, fox",Wombat and Fox: Summer in the City,Terry Denton,,"August 01, 2007",132,7 - 10 years, 2 - 5,,9781741751307,,,Allen & Unwin,,,,,,
wombat,"Swim, Little Wombat, Swim!",Charles Fuge,Charles Fuge,"August 1, 2005",24,2 - 5 years,,,978-1402723759,,,Sterling,Picture Books; Animals; Childrens; Storytime; Fiction; Australia,,3.69,4.5,,https://www.amazon.com/gp/product/140272375X/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=140272375X&SubscriptionId=1MGPYB6YW3HWK55XCGG2
wombat,Sometimes I Like to Curl Up in a Ball,Vicki Churchill,Charles Fuge,"January 1, 2001",24,1 - 3 years,,,978-0806979434,,,Union Square Kids,Picture Books; Childrens; Animals; Storytime; Fiction; Australia; Family; Juvenile; Fantasy; Young Adult,,4.25,4.8,,https://www.amazon.com/gp/product/0806979437/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0806979437&SubscriptionId=1MGPYB6YW3HWK55XCGG2#detailBullets_feature_div
wombat,Adventures of Little Wombat,Vicki Churchill; Angela McAllister ,Charles Fuge,"September 2, 2008",96,5 - 6 years,,,978-1402763229,,,Union Square Kids,Picture Books; Childrens,,4.31,4.3,,https://www.amazon.com/Adventures-Little-Wombat-Vicki-Churchill/dp/1402763220?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.zFUh6sxA7QofhrH8UUiLUt8w1CdHPNFXoPmzi_JkuhXkxRJm-RujPR1qVRKDDoAV8NooZEQ0mHcPAR-Bc8rVyrxCDn-qziexLSANEW2f0AGVBS3QnySRCLdPX61-agOEwSEqCULpjsiMVm-qZO_Y8qOe_O4gc6IzsLNOw12JdKqoIZs5OYvGVX1vs3iS9AxVXQE9DjC6Il5pS0CTp-mCXEykc2iJ0ogsob1wJgVqOjg.LXhrgzDiNJbJrKjNnxdPsMrdBJX1aJwdtuQLHSZrL8A&dib_tag=AUTHOR
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rabbit,Cress Watercress,Gregory Maguire,David Litchfield  ,"March 29, 2022",224,Ages 8-12,,,9781536211009,,,Candlewick Press,,,,,,
rabbit,Out of a Jar,Deborah Marcero  ,,"February 8, 2022",40,Ages 3-7,,,9780593326374,,,Penguin Young Readers Group,,,,,,
rhinoceros,The Rhino Suit,Colter Jackson  ,,"March 29, 2022",40,Ages 4-8,,,9781683648147,,,Sounds True, Social Themes - Emotions & Feelings / Social Themes - Self-Esteem & Self-Reliance / Health & Daily Living,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
raccoon,Rosie Raccoon's Rock and Roll Raft,Barbara deRubertis,R.W. Alley,"January 1, 2011",30,Ages: 4-9,,,9781635927092,,,Kane Press,A-Z,,,,,
,,,,,,,,,,,,,,,,,,
squirrel,The FRUSTRATING Book!,Mo Willems,,"October 18, 2022",96,Ages 4-8,,,9781368074827,,,,,,,,,
squirrel,Who is the Mystery Reader?,Mo Willems,,"October 1, 2019",96,Ages 4-8,,,978-1-368-04686-2,,,,,,,,,
squirrel,I Want to Sleep Under the Stars!,Mo Willems,,"October 6, 2020",96,Ages 4-8,,,978-1-368-05335-8,,,,,,,,,
squirrel,Guess What!?,Mo Willems,,"October5, 2021",96,Ages 5-8,,,978-1-368-07093-5,,,,,,,,,
squirrel,I Lost My Tooth!,Mo Willems,,"October 2, 2018",96,Ages 6-8,,,978-1-3680-2457-0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
elephant,Horton Hears a Who!,Dr. Seuss,,"January 1, 1954",72,Ages 5-9,K to 4,,978-0394800783,,,Random House / Random House Books for Young Readers,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Animals, Kids, Humor, Juvenile, kindness, bravery",,,,,
elephant,Horton Hatches the Egg,Dr. Seuss,,"January 1, 1940",64,,,,9780007175192,,,Harper Collins Childrens Books,,Lewis Carroll Shelf Award (1958),,,,
elephant,"The Story of Babar (Babar, #1)",Jean de Brunhoff,,"January 1, 1931",56,Ages 6+,,,,Yes,,Farshore,"Picture Books, Childrens, Fiction, Classics, Animals, Fantasy, France, Juvenile, Kids, Young Adult",,,,,
elephant,Polite Elephant ,Richard Scarry,,"July 17, 1963",24,1 to 3 years,,,9780307203144,,,Golden Books,"Manners, Politeness, kindness",,,,,
elephant,Where's the Elephant?,Barroux,,"February 1, 2015",32,3 - 7 years,PreK to 2,,9780763681104,,,Candlewick Press,"Picture Books, Animals, Environment, Childrens, Nature, Kids, Fiction, Geography, Environment, Deforestation",,,,,
elephant,The Saggy Baggy Elephant,"Kathryn Jackson, Byron Jackson",Gustav Tenggren,"January 1, 1947",24,1 - 4 years,PreK to 2,,9780307021106,,,Little Golden Books,"Picture Books, Childrens, Fiction, Animals, Classics, Fantasy, Kids, Juvenile, Young Adult, Storytime",,,,,
elephant,The Magician's Elephant,Kate DiCamillo,Yoko Tanaka,"September 8, 2009",201,7 - 10 years, 3 to 7 ,730L,9780763644109,,,Candlewick Press,"Fantasy, Fiction, Middle Grade, Childrens, Young Adult, Magic, Animals, Juvenile, Magical, Realism, Adventure","Flicker Tale Children's Book Award Nominee for Juvenile (2011), Minnesota Book Award for Young People’s Literature (2010), Goodreads Choice Award Nominee for Children's Book (2009), Carnegie Medal Nominee (2011), Hea Lasteraamat (2012)",,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
elephant,Elmer,David McKee,,"January 1, 1968 then 1989",32,2 - 6 years,PreK t0 3,,9780688091712,Yes,,HarperCollins,"Picture, Books, Childrens, Animals, Fiction, Storytime, Classics, Fantasy,, Humor, Art, School",,,,,
elephant,Elmer Again ,David McKee,,1991,,,,,,Yes,,,,,,,,
elephant,Elmer on Stilts,David McKee,,1993,,,,,,Yes,,,,,,,,
elephant,Elmer and Wilbur,David McKee,,1994,,,,,,Yes,,,,,,,,
elephant,Elmer's Colours,David McKee,,1994,,,,,,Yes,,,,,,,,
elephant,Elmer's Day,David McKee,,1994,,,,,,Yes,,,,,,,,
elephant,Elmer's Friends,David McKee,,1994,,,,,,Yes,,,,,,,,
elephant,Elmer's Weather,David McKee,,1994,,,,,,Yes,,,,,,,,
elephant,Elmer in the Snow,David McKee,,1995,,,,,,Yes,,,,,,,,
elephant,The Elmer Pop-Up Book,David McKee,,1996,,,,,,Yes,,,,,,,,
elephant,Elmer and the Wind,David McKee,,1997,,,,,,Yes,,,,,,,,
elephant,Elmer Plays Hide and Seek ,David McKee,,1997,,,,,,Yes,,,,,,,,
elephant,Elmer and the Lost Teddy ,David McKee,,1999,,,,,,Yes,,,,,,,,
elephant,Elmer and the Stranger,David McKee,,2000,,,,,,Yes,,,,,,,,
elephant,Look! There’s Elmer ,David McKee,,2000,,,,,,Yes,,,,,,,,
elephant,Elmer and Grandpa Eldo,David McKee,,2001,,,,,,Yes,,,,,,,,
elephant,Elmer’s Concert ,David McKee,,2001,,,,,,Yes,,,,,,,,
elephant,Elmer and Butterfly ,David McKee,,2002,,,,,,Yes,,,,,,,,
elephant,Elmer’s New Friend ,David McKee,,2002,,,,,,Yes,,,,,,,,
"eephant, hippo",Elmer and the Hippos ,David McKee,,"September 1, 2010",32,,,,9780099451143,Yes,,Red Fox,"Picture Books, Childrens, Animals, Fiction",,,,,
elephant,Elmer's Jigsaw Book ,David McKee,,2003,,,,,,Yes,,,,,,,,
"elephant, snake",Elmer and Snake ,David McKee,,2004,,,,,,Yes,,,,,,,,
elephant,Elmer and Rose ,David McKee,,2005,,,,,,Yes,,,,,,,,
elephant,Elmer and Aunt Zelda,David McKee,,2006,,,,,,Yes,,,,,,,,
elephant,Elmer's Baby Record Book,David McKee,,2006,,,,,,Yes,,,,,,,,
elephant,Elmer and the Rainbow,David McKee,,2007,,4 - 9 years,PreK to 3,AD510L,,Yes,,,,,,,,
elephant,Elmer's First Counting Book,David McKee,,2007,,,,,,Yes,,,,,,,,
elephant,Elmer's Opposites,David McKee,,2007,,,,,,Yes,,,,,,,,
elephant,Elmer and the Big Bird,David McKee,,2008,,,,,,Yes,,,,,,,,
elephant,Elmer's Special Day ,David McKee,,2009,,,,,,Yes,,,,,,,,
elephant,Elmer and Papa Red,David McKee,,2010,,,,,,Yes,,,,,,,,
elephant,Elmer and Super El,David McKee,,2011,,,,,,Yes,,,,,,,,
elephant,"Elmer, Rose and Super El",David McKee,,2012,,,,,,Yes,,,,,,,,
"elephant, whale",Elmer and the Whales,David McKee,,2013,,,,,,Yes,,,,,,,,
elephant,Elmer And The Monster,David McKee,,2015,,,,,,Yes,,,,,,,,
elephant,Elmer's Christmas,David McKee,,2015,,,,,,Yes,,,,,,,,
elephant,Elmer and the Race ,David McKee,,2016,,,,,,Yes,,,,,,,,
elephant,Elmer and the Flood,David McKee,,2016,,,,,,Yes,,,,,,,,
elephant,Elmer and the Tune ,David McKee,,2017,,,,,,Yes,,,,,,,,
elephant,Elmer's Walk,David McKee,,2018,,,,,,Yes,,,,,,,,
elephant,Elmer's Birthday ,David McKee,,2019,,,,,,Yes,,,,,,,,
elephant,Elmer and the Lost Treasure,David McKee,,2020,,,,,,Yes,,,,,,,,
elephant,Elmer and the Bedtime Story,David McKee,,2021,,,,,,Yes,,,,,,,,
elephant,Elmer and the Gift ,David McKee,,2022,,,,,,Yes,,,,,,,,
elephant,Tusk Tusk,David McKee,,"May 22, 1978",32,,,,9781842705797,,,Andersen Press,"Picture Books, Animals, War, Death, Fiction, Childrens, Cultural",,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
bear,I Want My Hat Back,Jon Klassen,,"September 27, 2011",40,,,,9780763655983,,,Candlewick Press,"Picture Books, Childrens, Humor, Animals, Fiction, Storytime, Fantasy, Kids, Canada, Juvenile",,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"rabbit, owl",It's Owl Good: The Super Adventures of Ollie and Bea 1,Renee Treml,,"August 1, 2021",64,,,,9781760526474,,,Allen & Unwin,,,,,,
"rabbit, owl",Squeals on Wheels: The Super Adventures of Ollie and Bea 2,Renee Treml,,"August 1, 2021",64,,,,9781760526481,,,Allen & Unwin,"Childrens, Graphic Novels",,,,,
owl,Ten Little Owls,Renee Treml,,"August 29, 2016",24,,,,9780143780564,,,Random House Australia,"Picture Books, Animals, Childrens, Counting, Australia",,,,,
,,,,,,,,,,,,,,,,,,
elephant,How the Elephant Got His Trunk: The Graphic Novel,"Blake Hoena (adapter), Rudyard Kipling",Pedro Rodríguez,"January 1, 2012",40,8 - 11 years,3 to 6,GN520L,978-1434238801,,,978-1434232229,Graphic Novels; Childrens; Picture Books; Animals,,3.94,3.8,"This graphic novel adaptation of Kipling's classic tale depicts a curious young elephant's encounter with a crocodile, resulting in the elephant's nose being stretched into a trunk. The vivid illustrations likely bring the whimsical story to life, making it an engaging visual experience for young readers.",https://www.amazon.com/How-Elephant-Got-His-Trunk/dp/1434232220/ref=monarch_sidesheet_title
elephant,Akimbo and the Elephants,Alexander McCall Smith, LeUyen Pham,"January 1, 2005",80,7 - 10 years,2 to 4, - ,9781599900315,Yes,Akimbo: Akimbo and the Elephants; Akimbo and the Lions; Akimbo and the Crocodile Man; Akimbo and the Snakes; Akimbo and the Baboons,Bloomsbury USA Childrens,Africa; Fiction; Animals; Adventure; Childrens; Juvenile; Middle Grade; Kids; Audiobook; Mystery,,3.81,4.6,"In this adventure story, a young African boy named Akimbo helps protect elephants from poachers on his father's game reserve. Akimbo's bravery and quick thinking are put to the test as he faces dangerous situations to save these magnificent animals from harm.",https://www.amazon.com/Akimbo-Elephants-Alexander-McCall-Smith/dp/1582346860/ref=sr_1_4?crid=1SLEQL0UL4WZE&dib=eyJ2IjoiMSJ9.lzKmlTMeLFlYDp5BjHxtAFwBVePE_I8QXfBSQ1EWPMRgONdVguKa974lAzHe8R3G1qXsygULGrL2esOBGWqd6qeGxSYYh53gQEHfrE08n-bw1QUIswvHm_rxVT39SLIny6qZBZoZnt5EI_irN9MsZz8Re62u-wsjCHhZKFN8A6E.cvD0XE0pL26Tx-GJvJc0odsmONJG1LRiuEU7X4CqAAU&dib_tag=se&keywords=Akimbo+and+the+Elephants&qid=1725159527&s=books&sprefix=akimbo+and+the+elephants%2Cstripbooks%2C74&sr=1-4
elephant,Walt Disney's Dumbo,Walt Disney Company,,"January 1, 1940",24, - , - , - ,9780736423090,,,Golden/Disney,Childrens; Picture Books; Fiction; Classics; Fantasy; Animals; Media Tie In; Kids; Fairy Tales; Adventure;,,4.32,3.9,"This picture book adaptation tells the story of Dumbo, a young circus elephant teased for his oversized ears. Through adversity and with the help of a loyal friend, Dumbo discovers his ears allow him to fly, ultimately becoming the star of the circus.",https://www.amazon.com/Disneys-Dumbo-Little-Golden-Books/dp/B000E33VJA/ref=sr_1_1?crid=1OH23OLJM8N97&dib=eyJ2IjoiMSJ9.Lc3J3GJWHEWggLvA1Zhfwtmn9CDWOmGA1AC3F2jlqVdhfYsYzHjEN_SLDz10dIxn51GxTTGi12zELXi5MPpt8-i5PA344A0zmQx2YgTkOgVNA5rOJrWQFGzGzkquHtIFvEB3gnUHNSsLRt5slLMjiAs5Fhq2wNb1w0SWh-jGJGZ2v7y9PDJMm4mapCIiLRCMtYjSyl8ZS1vdaa_8WaNNjw.MFWKh29C3vvaM1rShb0xc7PHZw3K2pTCWNQPBGsAc98&dib_tag=se&keywords=Walt+Disney%27s+Dumbo&qid=1725161589&s=books&sprefix=walt+disney%27s+dumbo%2Cstripbooks%2C169&sr=1-1
elephant,5 Elephants,Rob Laidlaw,,"May 30, 2014",80,9 - 12 years,2 to 7,1110L,9781554553167,Yes,,Fitzhenry & Whiteside,Non-fiction; Nature; Species protection,2016 Skipping Stones Honor Award in the Nature and Ecology category,4.06,4.7,"This book examines the lives of five elephants in different environments, highlighting their intelligence and arguing against captivity. It encourages critical thinking about elephant welfare and conservation through real-life examples.",https://www.amazon.com/5-Elephants-Animals-Rob-Laidlaw/dp/1554553164/ref=monarch_sidesheet_title
elephant,What to Do if an Elephant Stands On Your Foot,Michelle Robinson,Peter Reynolds,"July 5, 2012",32,3 - 5 years, - ,AD580L,978-0803733985,,,Dial Books,"Fiction, Picture Book, Humor",,3.77,4.8,"This humorous picture book follows a young explorer's jungle misadventures, offering playful advice for wildlife encounters. It showcases the comical consequences of panicking, starting with an elephant standing on your foot and escalating through various animal interactions.",https://www.amazon.com/What-Elephant-Stands-Your-Foot/dp/0803733984/ref=sr_1_1?crid=2HACZMVKWP5NZ&dib=eyJ2IjoiMSJ9.ewbS9C6YzE0C9MM_kLWFpWCKQhLflRPBbWAGqqs0aa8.bWz0R2eO2WjTWnV2zZpBus87K2SuLn7H-WVlD0T8rc0&dib_tag=se&keywords=What+to+Do+if+an+Elephant+Stands+On+Your+Foot&qid=1725160856&s=books&sprefix=what+to+do+if+an+elephant+stands+on+your+foot%2Cstripbooks%2C80&sr=1-1
elephant,Queenie: One Elephant's Story,Corinne Fenton ,Peter Gouldthorpe ,"June 11, 2013",24,5 - 8 years,K to 3 ,AD790L,978-0763663759,,,Candlewick Press,Non-fiction; Animals in captivity; Ethics; Picture Books; Childrens; True Story;,Children's Book Council of Australia Award (2007),3.88,4.5,"This picture book tells the true story of Queenie, an elephant who lived at the Melbourne Zoo for over 40 years. It follows her journey from India to Australia and her life giving rides to zoo visitors, highlighting both the affection people had for her and the ethical issues surrounding animals in captivity.",https://www.amazon.com/Queenie-Elephants-Story-Corinne-Fenton/dp/0763663751/ref=sr_1_1?crid=2Q4BVE7ADUN4U&dib=eyJ2IjoiMSJ9.L5BMqVtWO2It8XDKeifrDfx8FUlnbOrn-7RgLvFMQNXvm-BD7sOEzTvfcWZmFu-FJi8NMhiYZhFPZ5da0uh3bQ.r-5e-DaFp1t-kFLtaS8DsK2ii1OBK_wVoQ0pBSpnJ8g&dib_tag=se&keywords=Queenie%3A+One+Elephant%27s+Story&qid=1725160499&s=books&sprefix=queenie+one+elephant%27s+story%2Cstripbooks%2C65&sr=1-1
elephant,"Thirsty, Thirsty Elephants",Sandra Markle,Fabricio VandenBroeck,"April 4, 2017",32,3 - 7 years,PreK to 2,AD610L,978-1580896344,,,Charlesbridge,Picture Books; Animals; Nonfiction; Africa; Science; Childrens; Storytime; Nature; Juvenile;,South Carolina Book Award Nominee for Picture Book (2020),4.07,4.9,"This picture book recounts a true story of a Tanzanian elephant herd led by their matriarch ""Big Mama"" during a severe drought. It highlights the elderly elephant's remarkable memory and leadership as she guides her family across the dry savanna in search of water.",https://www.amazon.com/Thirsty-Elephants-Sandra-Markle/dp/1580896340/ref=sr_1_1?crid=19VP2A839H9P&dib=eyJ2IjoiMSJ9.sntNgzsrlxpW8S9xB1EGkkTDkfACetzI1VxKT3IaTTjuLJ2ZJFDEYJZsgft--Tj-4gpzFy2CRhQKi46-fOu7WonvzLIGUz3mtZIPQoDVw59tSlmp_cHCiLT1w0pCvUy5cHwixGILLdo136ldN1e8GR1VMgipAbYh-tJLhj6fJm-cWtMpmYMIFRnArC2bUydXSp-xxE1F4pykdEByfV5nEsyfZUNYz8qE14vUOxQtRTY.GytrDtpu1Y6SxII-H0ZzB-QBZx3qs_NVF8Z8rYSm46Q&dib_tag=se&keywords=Thirsty%2C+Thirsty+Elephants&qid=1725160286&s=books&sprefix=thirsty%2C+thirsty+elephants%2Cstripbooks%2C87&sr=1-1
elephant,A Passion for Elephants: The Real Life Adventure of Field Scientist Cynthia Moss,Toni Buzzeo,Holly Berry,"September 29, 2015",32,5 - 8 years,K to 3 ,NC1030L,978-0399187254,,,Dial Books,Cynthia Moss (elephant scientist); Preservation; Biography; Animals; Nonfiction; Picture Books; Science; Africa; Childrens; Nature; Environment,,4.07,5,"This picture book biography chronicles Cynthia Moss's lifelong passion for studying and protecting African elephants. It follows her journey from a curious child to a dedicated scientist and conservationist, showcasing her 40-year commitment to understanding elephant behavior and advocating for their protection at Kenya's Amboseli National Park.",https://www.amazon.com/Passion-Elephants-Adventure-Scientist-Cynthia/dp/0399187251/ref=sr_1_1?crid=2KCT15WAORHY4&dib=eyJ2IjoiMSJ9.P9-1ZVGj09e3c6uNoeJlcw.SiaBgNasKPOLFMNhteqIhwAxo2l1NKo2lrqyacPyvIs&dib_tag=se&keywords=A+Passion+for+Elephants%3A+The+Real+Life+Adventure+of+Field+Scientist+Cynthia+Moss&qid=1725160005&s=books&sprefix=a+passion+for+elephants+the+real+life+adventure+of+field+scientist+cynthia+moss%2Cstripbooks%2C84&sr=1-1
elephant,"The Elephants Come Home: A True Story of Seven Elephants, Two People, and One Extraordinary Friendship",Kim Tomsic,Hadley Hooper ,"May 18, 2021",68,5 - 10 years,K to 5,AD810L,978-1452127835,,,Chronicle Books,Picture Books; Nonfiction; Animals; Childrens; Africa; Nature; Biography; Family; Conservation; Juvenile;,"Norman A. Sugarman Award Nominee for (honorable mention) (2022), California Young Readers Medal for Picture Books for Older Readers (2024)",4.57,4.9,"This true tale recounts how seven troubled elephants found a new home at a South African wildlife sanctuary, forming an extraordinary bond with the couple who runs it. Through patience and compassion, the sanctuary owners help the elephants overcome their past traumas, showcasing the remarkable connections possible between humans and animals.",https://www.amazon.com/gp/product/1452127832/ref=as_li_qf_asin_il_tl?ie=UTF8&tag=whtoretoyoki-20&creative=9325&linkCode=as2&creativeASIN=1452127832&linkId=bb4f08c621a043dc823ea6d41b8ab32c
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
alligator,"See You Later, Alligator",Sally Hopgood,Emma Levey ,"August 1, 2015",32,2 - 5 years,PreK - K, - ,978-1510704848,,,Sky Pony,Picture Books; Animals; Childrens; Storytime; Adventure,,4,4.8,"A tortoise's departure is delayed by creative, rhyming goodbyes to zoo friends, offering a humorous exploration of animal farewells for young readers.",https://www.amazon.com/dp/1510704841/ref=sspa_dk_detail_3?psc=1&pd_rd_i=1510704841&pd_rd_w=kRwA0&content-id=amzn1.sym.f734d1a2-0bf9-4a26-ad34-2e1b969a5a75&pf_rd_p=f734d1a2-0bf9-4a26-ad34-2e1b969a5a75&pf_rd_r=7C7TT282P3CYCJ4NG32D&pd_rd_wg=2Lh0R&pd_rd_r=89467c4d-eaa0-4b22-8083-767ca137e706&s=books&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw
crocodile,The Enormous Crocodile,Roald Dahl ,Quentin Blake,"January 1, 1978",32,4 - 7 years,K to 3,600L,978-0451480002,,,Viking Books for Young Readers,Childrens; Fiction; Picture Books; Fantasy; Animals; Middle Grade; Classics; Audiobook; Humor; Young Adult,,3.8,4.6,"A crocodile's schemes to eat children are foiled by jungle animals, teaching teamwork and outsmarting bullies through Dahl's signature humor.",https://www.amazon.com/gp/product/0451480007?tag=randohouseinc27162-20
