Animal,Title ,Author ,Illustrator,First published,Pages,Age range,Grade range / Lexile,Lexile,ISBN,Series,Titles in Series,Publisher,Subject / Genre,Awards,Goodreads rating,Amazon rating,Synopsis (using AI),Amazon
cat,Miss Hazeltine's Home for Shy and Fearful Cats,Alicia Potter ,Birgitta Sif,"May 12, 2015",40,5 - 8 years,K to 3,AD560L,978-0385753340,,,Knopf Books for Young Readers,Picture Books; Childrens; Animals; Cats; Fiction; Storytime; Juvenile; Kids; Emotion; Relationships;,Charlotte Zolotow Award Nominee for Highly Commended Title (2016),4.25,4.9,"Miss Hazeltine opens a sanctuary for shy and fearful cats, teaching them to overcome their fears, and when she goes missing, the timid cat Crumb finds the courage to lead a rescue. This heartwarming tale emphasizes bravery and the power of kindness.",https://www.amazon.com/Miss-Hazeltines-Home-Fearful-Cats/dp/0385753349/ref=sr_1_1?crid=1DOM6TWUXCZBS&dib=eyJ2IjoiMSJ9.35hzBOSeOMDovx-OBWLdJv7H_UBZakAJCyR6862MsgUa5otfcIHO19Zaahfm469p.TUK-nnoVfDB-FBfYT4UkfK6MYDjayup9eOOAcStLEek&dib_tag=se&keywords=Miss+Hazeltine%27s+Home+for+Shy+and+Fearful+Cats&qid=1725130967&s=books&sprefix=miss+hazeltine%27s+home+for+shy+and+fearful+cats%2Cstripbooks%2C77&sr=1-1
cat,Pete the Cat and His Four Groovy Buttons,Eric Litwin,James Dean,"May 01, 2012",40,4 - 8 years,PreK to 2,AD350L,9780062110589,Yes,Pete the Cat: 63 titles,HarperCollins,Picture Books; Childrens; Storytime; Cats; Counting; Mathematics; Animals; Fiction; Humor; Music;,"Theodor Seuss Geisel Award Nominee (2013), Goodreads Choice Award Nominee for Picture Books (2012), Indiana Early Literacy Firefly Award Nominee (2015)",4.41,4.9,"Pete the Cat joyfully sings about his four colorful buttons, even as they pop off one by one, teaching children about resilience and finding happiness in what remains.",https://www.amazon.com/Pete-Cat-Four-Groovy-Buttons/dp/0062110586/ref=sr_1_1?crid=3P6X5FGM3A0DW&dib=eyJ2IjoiMSJ9.n-suIlUQQRWZlgrXkp9gBbXrcLMJFXM5ZJpnQdUzpWzlz6qp_-Xwox0avn61eUBqPxCCeGfIRasw8eQWQHH3p33uGS8P1_jaNZFC2hCh8Jsczdrim_wOAi4qZeAl8Vok4as-_ZO2uuwZh3CrgGn4NgVGCSLN4Wr29lClYPO4INTkUjpyEOD0gObWVRhid7dsp2EXbDUVdqAwvRcuvaZeJknXH5lLEsPSLL4jJTLx9es.nfB24MES4e0hbLPvLgHV6Db00dAQhvVJvsa95eE-zfM&dib_tag=se&keywords=Pete+the+Cat+and+His+Four+Groovy+Buttons&qid=1725131327&s=books&sprefix=pete+the+cat+and+his+four+groovy+buttons%2Cstripbooks%2C96&sr=1-1
cat,Pete the Cat I Love My White Shoes,Eric Litwin,James Dean,"January 01, 2010",40,2 - 5 years,PreK t3o ,AD460L,9780545419666,Yes,Pete the Cat: 63 titles,HarperCollins,Picture Books; Childrens; Storytime; Animals; Cats; Fiction; Music; Humor; Kids; Fantasy;,"North Carolina Children's Book Award (2013), CLEL Silver Bell Award Nominee for Sing (2013)",4.34,4.9,"Pete the Cat strolls along in his new white shoes, which change colors as he steps in various substances, yet he remains cheerful and keeps singing, teaching children about resilience and optimism.",https://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220/ref=monarch_sidesheet_title
cat,Stack the Cats,Susie Ghahremani,Susie Ghahremani,"May 08, 2018",32,1 - 3 years,PreK up, - ,978-1419727061,,,Abrams Appleseed,Picture Books; Cats; Counting; Storytime; Childrens; Animals; Mathematics; Fiction; Juvenile; Number;,,3.94,4.7,"This playful counting book features cats engaging in various activities like sleeping, playing, and stacking, introducing young readers to basic math concepts such as addition and subtraction through whimsical illustrations.",https://www.amazon.com/Stack-Cats-Susie-Ghahremani/dp/1419727060/ref=sr_1_1?crid=3770EWOL3CA6B&dib=eyJ2IjoiMSJ9.HFh0Q8bEEDTJPDn-gNJY4oGAoFFuMQBArohz6ZOpMt9VIojZh9iJOJWCEdX2WhTFNEiSylJJt9KxMa3fW2gU7ni8FmRCjQSYvNiIez5veycx-j1uQ6ZHu50uzs-JC5-pOZIizR6UOeJsTgcb_IDzDVe0A-vSnBmJNeGE4K116KI6WpknPhPfet0bvYOebvEf7FuDY1J09N9FwBnswCrPcjwykZFQkHtaiMILkRpp35I.A6jMLbeOtIlKs7QvNoRD7Dn0WRKabYmE4ygepyOIrCQ&dib_tag=se&keywords=Stack+the+Cats&qid=1725132231&s=books&sprefix=stack+the+cats%2Cstripbooks%2C90&sr=1-1
cat,The Cat and the Rat and the Hat,Em Lynas,Matt Hunt,"October 26, 2021",32,3 - 7 years,PreK to 2, - ,978-1536223101,,,Candlewick Press,Picture Books; Cats; Storytime; Humor; Animals; Childrens; Juvenile; ,,3.74,4.5,"In this humorous rhyming tale, a cat, a rat, and a bat compete for possession of a hat, leading to a series of playful antics and unexpected twists. The story's lively rhythm and vibrant illustrations make it an engaging read for young children.",https://www.amazon.com/Cat-Rat-Hat-Em-Lynas/dp/1536223107/ref=sr_1_1?crid=IVGS07HC0HDY&dib=eyJ2IjoiMSJ9.J2nNyXDTmtohA-kNr07CMbLhEj-y2SF_ZlWXYvUprmt6WWyG1ddMvzcJyNmvy80XnFD-nmcV27AcNPXYuVNHgTpMVrOCeHTSklPTbZ2PuCbx2uotuu1HHpk2k-yaVkZ2WUs9ZN6ZnltBGCB8GNsZd3UH-yq8RASR80GnJgmm2RYyZHVb_ekeAKZ_UpkXyGeysMhIvZbPdXb5VsCcjrhHqICd9NwU4qcTWTzBu4hJhyI.uFk8hrxMuTAjgXia1bqi5ypYWGC19Xm-i_kkBGxYGy4&dib_tag=se&keywords=The+Cat+and+the+Rat+and+the+Hat&qid=1725132611&s=books&sprefix=the+cat+and+the+rat+and+the+hat%2Cstripbooks%2C107&sr=1-1
cat,The Cat in the Hat,Dr. Seuss,Dr. Seuss,"March 12, 1957",72,4 - 7 years,PreK to 2,430L,978-0394800011,Yes,The Cat in the Hat: The Cat in the Hat; The Cat in the Hat Comes Back; The Cat's Quizzer; I Can Read With My Eyes Shut!; Daisy-Head Mayzie;,Random House Books for Young Readers,Childrens; Picture Books; Fiction; Poetry; Classics; Fantasy; Humor; Animals; Kids; Cats;,"Books I Loved Best Yearly (BILBY) Awards for Early Readers (2004, 2012) (2004)",4.19,4.9,"On a rainy day, the Cat in the Hat arrives to entertain two bored children with mischievous antics, leading to chaotic fun that tests their ability to manage the mess before their mother returns.",https://www.amazon.com/Cat-Hat-Dr-Seuss/dp/039480001X/ref=sr_1_1?crid=ZBOVFHSUR66L&dib=eyJ2IjoiMSJ9.su1DF_O5m-mNBBkqpId0lCmnGcUwKLHM2ZHSoSaDwFXCWC-5JGPYyhu2uNc-PHJd3SJKvkrM8rc1wkYnTFGFadNTxeMCkkHOdU4x8WrKCzNBs9JItQyYyRri0O_0IxjKQbiS4KpMe5fEu76iWLjW0zfR0FcROUkLWP97Bw8jlZMCW5jczAwjNpCbFzkvolEY8mDgsIHLY7jm-ZqjEeu3s0mAF4P14xe5njVZ_y2EngU.muhHJQQvzbLqQuqJpeJL9wDnc1uqMtIi36ciH1c6iVI&dib_tag=se&keywords=The+Cat+in+the+Hat&qid=1725132905&s=books&sprefix=the+cat+in+the+hat%2Cstripbooks%2C70&sr=1-1
cat,The Cat Man of Aleppo,"Irene Latham, Karim Shamsi-Basha",Yuko Shimizu,"April 14, 2020",40,4 - 8 years,PreK to 3, - ,978-1984813787,,,G.P. Putnam's Sons Books for Young Readers,kindness; resilience; Picture Books; Animals; War; Cats; Nonfiction; Childrens; Biography; History; Biography Memoir; Historical; ,"Caldecott Medal Nominee (2021), Alabama Author Award for Juvenile (2022)",4.24,4.9,"This true story follows Mohammad Alaa Aljaleel, an ambulance driver in war-torn Aleppo, who dedicates himself to caring for the city's abandoned cats, illustrating the profound impact of compassion and kindness amidst conflict.",https://www.amazon.com/Cat-Man-Aleppo-Karim-Shamsi-Basha-ebook/dp/B07V8CK6FK/ref=sr_1_1?crid=2WRSJ2MJLK9H4&dib=eyJ2IjoiMSJ9.IX8xO9qOuji71U3-y5QSY2LGZ6cAVlW4w0cRtF2-DbjZTvxpSviUoQGdporj04EO5f39IPNDgz3EeecHkh2Gg00D-syjUsZz0NzQpLN4qmqjNH27V9BUEEVDdwJ_FdeJ.qU91ZMm3iOFLfbJRLrL-9jjKFs-1EW9XbiqTWlQqnCM&dib_tag=se&keywords=The+Cat+Man+of+Aleppo&qid=1725133432&s=books&sprefix=the+cat+man+of+aleppo%2Cstripbooks%2C92&sr=1-1
cat,"The Very Fluffy Kitty, Papillon",A.N. Kang,A.N. Kang,"September 06, 2016",32,1 - 5 years,PreK up, - ,978-1484788455,Yes,"Papillon: The Very Fluffy Kitty, Papillon; Papillon Goes to the Vet;","Little, Brown Books for Young Readers",Picture Books; Cats; Childrens; Animals; Storytime; Fiction; Adventure; Humor; Juvenile; Fantasy;,,4.14,4.6,"Papillon, an extremely fluffy kitty who is lighter than air, embarks on adventures as he floats away despite his owner's attempts to weigh him down, ultimately discovering the comfort of home.",https://www.amazon.com/Very-Fluffy-Kitty-Papillon-board/dp/1484788451/ref=sr_1_1?crid=UYZNVHRONAM6&dib=eyJ2IjoiMSJ9.xcy3HnQL7AIr9ayn5T9_lLk0nJzq8nwohF8h49oxFE8.ewnubNU53VnahEYeqfPzXV_lwQOZFRLsVoI5dlr8ouw&dib_tag=se&keywords=The+Very+Fluffy+Kitty%2C+Papillon&qid=1725133776&s=books&sprefix=the+very+fluffy+kitty%2C+papillon%2Cstripbooks%2C100&sr=1-1
cat,They All Saw a Cat,Brendan Wenzel,Brendan Wenzel,"August 30, 2016",44,2 - 5 years,PreK to K,AD310L,978-1452150130,,,Chronicle Books,Picture Books; Childrens; Animals; Cats; Fiction; Storytime; Art; Nature; Juvenile; Kids;,"Caldecott Medal Nominee (2017), NAIBA Book of the Year for Picture Book (2017), Goodreads Choice Award Nominee for Picture Books (2016),",4.11,4.8,"As a cat walks through the world, it is seen differently by various animals and people, highlighting the concept of perception and how experiences shape the way we see things.",https://www.amazon.com/They-All-Saw-Brendan-Wenzel/dp/1452150133/ref=sxts_entity_rec_bsx_s_def_r00_t_aufl?content-id=amzn1.sym.ef79036c-3115-4558-8809-5b82920b1ea5%3Aamzn1.sym.ef79036c-3115-4558-8809-5b82920b1ea5&crid=7WUXU46RF92X&cv_ct_cx=Brendan+Wenzel&dib=eyJ2IjoiMSJ9.-UDnJwzfL1XSlz6r5P46NSdZRFI-kMGVvxwIkkd6bEsqJX2YyZS5RjmqbTIxjFn0phaVw38Q1Eevrxx4AiO5tg.0KxJGZWzTCuKpWeITy04Zp18QpfzEl-CmOiMqtkDglc&dib_tag=se&keywords=Brendan+Wenzel&pd_rd_i=1452150133&pd_rd_r=d69197b2-95df-44f6-8e4c-d486f1965c98&pd_rd_w=VAMj5&pd_rd_wg=ixtOy&pf_rd_p=ef79036c-3115-4558-8809-5b82920b1ea5&pf_rd_r=DE1ZEZCM6ZBPQ2AHX4TR&qid=1725069629&s=books&sprefix=brendan+wenzel%2Cstripbooks%2C87&sr=1-1-ef9bfdb7-b507-43a0-b887-27e2a8414df0
cat,Up Cat Down Cat,Steve Light,Steve Light,"May 5, 2020",16,0 - 3 years, - , - ,978-1536210316,,,Candlewick,Cats; Picture Books; Childrens; Animals; Storytime; Juvenile;,,3.79,4.4,"Two cats explore opposites like up and down through playful activities with a toy mouse, using vibrant illustrations to engage young readers.",https://www.amazon.com/Up-Cat-Down-Steve-Light/dp/1536210315/ref=sr_1_4?crid=1TOFXXV40ROYF&dib=eyJ2IjoiMSJ9.0jlZiorO75ijgPVekz4WXoZE5BiAmOssUaaGxlemIl33gmsJJbvXfTfOkOGFcM59j2YmcdHKkbx1sIc0Nr29t71vmzmY2VWNzf_fP8F6m7cyT7G0wwquRHGI6l4XwMUh-Fwixem_1RlALHZYFcvp-HZqryACgDROdoVnkJZwn8mLq_WjpW7Pc7OzvH3JOGwUgrygEVpwHt2ZH6JHKcH2Al5YtXoar3Zuk3i9dhuBE90.V24OmMfQaZPhC6s6vjA4IFOaPTWznnCCRIMo_np1yzo&dib_tag=se&keywords=Up+Cat+Down+Cat&qid=1725134825&s=books&sprefix=up+cat+down+cat%2Cstripbooks%2C119&sr=1-4
cat,"Cat Up, Cat Down",Catherine Hnatov ,Catherine Hnatov ,"June 30, 2017",14,1 - 3 years, - ,AD120L,978-1595727800,,,Star Bright Books,Cats; Picture Books; Animals;,,4,4.7,"This engaging board book uses playful illustrations of black and white cats to introduce young children to the concept of opposites, such as up and down, inside and outside, and big and small, fostering early language development and spatial awareness.",https://www.amazon.com/Cat-Up-Down-Catherine-Hnatov/dp/1595727809/ref=monarch_sidesheet_title
cat,What Will Fat Cat Sit On?,Jan Thomas,Jan Thomas,"September 1, 2007",48,2 - 5 years,PreK to 3, - ,978-0544850040,Yes,The Giggle Gang: What Will Fat Cat Sit On?; A Birthday for Cow!; The Doghouse; My Toothbrush Is Missing; My Friends Make Me Happy!; What Is Chasing Duck?; There's a Pest in the Garden!;,Clarion Books,Picture Books; Storytime; Animals; Cats; Childrens; Humor; Fiction; Dogs; Juvenile; Pre K,,3.95,4.7,"Fat Cat ponders where to sit, causing a group of worried animals to comically speculate, until a clever solution is found that satisfies everyone.",https://www.amazon.com/What-Will-Fat-Giggle-Gang/dp/0544850041/ref=sr_1_1?crid=35082WO93BEJE&dib=eyJ2IjoiMSJ9.Bum_f4IC0uv2OSnMj2IzYg2TSYciiurTjaMpIRmp058.LHDyKVGBNE4V4WlIzC2iGd_lqCL9aKv_13Cw0GqiG-U&dib_tag=se&keywords=What+Will+Fat+Cat+Sit+On%3F&qid=1725135127&s=books&sprefix=what+will+fat+cat+sit+on+%2Cstripbooks%2C64&sr=1-1